CLASS,COMID
"7",20223047.00000000000
"7",20223053.00000000000
"7",20223059.00000000000
"7",20223063.00000000000
"7",20223065.00000000000
"7",20223069.00000000000
"7",20223071.00000000000
"7",20223083.00000000000
"7",20223085.00000000000
"7",20223087.00000000000
"7",20223091.00000000000
"7",20223103.00000000000
"7",20223105.00000000000
"7",20223111.00000000000
"7",20223115.00000000000
"7",20223117.00000000000
"7",20223123.00000000000
"7",20223127.00000000000
"7",20223129.00000000000
"7",20223139.00000000000
"7",20223141.00000000000
"7",20223143.00000000000
"7",20223299.00000000000
"7",20223307.00000000000
"7",20223309.00000000000
"7",20223329.00000000000
"7",20223339.00000000000
"7",20223345.00000000000
"7",20223361.00000000000
"7",20223365.00000000000
"7",20223379.00000000000
"7",20223381.00000000000
"7",20223383.00000000000
"7",20223385.00000000000
"7",20223555.00000000000
"7",20223557.00000000000
"7",20223577.00000000000
"7",20223589.00000000000
"7",20223603.00000000000
"7",20223623.00000000000
"7",20223631.00000000000
"7",20223639.00000000000
"7",20223645.00000000000
"7",20223649.00000000000
"7",20223651.00000000000
"7",20223675.00000000000
"7",20223703.00000000000
"7",20223713.00000000000
"7",20223721.00000000000
"7",20223725.00000000000
"7",20223745.00000000000
"7",20223749.00000000000
"7",20223799.00000000000
"7",20223811.00000000000
"7",20223817.00000000000
"7",20223823.00000000000
"7",20223835.00000000000
"7",20223847.00000000000
"7",20223851.00000000000
"7",20223853.00000000000
"7",20223861.00000000000
"7",20223869.00000000000
"7",20223871.00000000000
"7",20223893.00000000000
"7",20223897.00000000000
"7",20223905.00000000000
"7",20223917.00000000000
"7",20223923.00000000000
"7",20223927.00000000000
"7",20223943.00000000000
"7",20223969.00000000000
"7",20223995.00000000000
"7",20224001.00000000000
"7",20224019.00000000000
"7",20224065.00000000000
"7",20224079.00000000000
"7",20224081.00000000000
"7",20224199.00000000000
"7",20224203.00000000000
"7",20224207.00000000000
"7",20224215.00000000000
"7",20224221.00000000000
"7",20224225.00000000000
"7",20224227.00000000000
"7",20224229.00000000000
"7",20224233.00000000000
"7",20224241.00000000000
"7",20224247.00000000000
"7",20224253.00000000000
"7",20224337.00000000000
"7",20224339.00000000000
"7",20224341.00000000000
"7",20224343.00000000000
"7",20224349.00000000000
"7",20224355.00000000000
"7",20224357.00000000000
"7",20224369.00000000000
"7",20224371.00000000000
"7",20224373.00000000000
"7",20224381.00000000000
"7",20224383.00000000000
"7",20224385.00000000000
"7",20224395.00000000000
"7",20224397.00000000000
"7",20224401.00000000000
"7",20224403.00000000000
"7",20224617.00000000000
"7",20224619.00000000000
"7",20224645.00000000000
"7",20224647.00000000000
"7",20224649.00000000000
"7",20224651.00000000000
"7",20224655.00000000000
"7",20224657.00000000000
"7",20224659.00000000000
"7",20224661.00000000000
"7",20224663.00000000000
"7",20224665.00000000000
"7",20225005.00000000000
"7",20225035.00000000000
"7",20225051.00000000000
"7",20225059.00000000000
"7",20225061.00000000000
"7",20225073.00000000000
"7",20225083.00000000000
"7",20225625.00000000000
"7",20225637.00000000000
"7",20225653.00000000000
"7",20225657.00000000000
"7",20225661.00000000000
"7",20225665.00000000000
"7",20225667.00000000000
"7",20225671.00000000000
"7",20225683.00000000000
"7",20225685.00000000000
"7",20225687.00000000000
"7",20225689.00000000000
"7",20225691.00000000000
"7",20225695.00000000000
"7",20225697.00000000000
"7",20225703.00000000000
"7",20225705.00000000000
"7",20225707.00000000000
"7",20225709.00000000000
"7",20225711.00000000000
"7",20225713.00000000000
"7",20225731.00000000000
"7",20225735.00000000000
"7",20225737.00000000000
"7",20225739.00000000000
"7",20225741.00000000000
"7",20225745.00000000000
"7",20225747.00000000000
"7",20225759.00000000000
"7",20225765.00000000000
"7",20225771.00000000000
"7",20225777.00000000000
"7",20225797.00000000000
"7",20225805.00000000000
"7",20225809.00000000000
"7",20225811.00000000000
"7",20225815.00000000000
"7",20225819.00000000000
"7",20225821.00000000000
"7",20225825.00000000000
